Overview	نمای کلی	عمومي کتنه	نظرة عامة
Status	وضعیت	حالت	الحالة
Actions	عملیات	کړنې	الإجراءات
Language	زبان	ژبه	اللغة
Currency	ارز	اسعار	العملة
Default	پیش‌فرض	اصلي	افتراضي
Default language	زبان پیش‌فرض	اصلي ژبه	اللغة الافتراضية
Default currency	ارز پیش‌فرض	اصلي اسعار	العملة الافتراضية
Domain	دامنه	ډومېن	النطاق
Website name	نام وب‌سایت	د وېبپاڼې نوم	اسم الموقع
Website status	وضعیت وب‌سایت	د وېبپاڼې حالت	حالة الموقع
Website settings	تنظیمات وب‌سایت	د وېبپاڼې امستنې	إعدادات الموقع
Website tools	ابزارهای وب‌سایت	د وېبپاڼې وسیلې	أدوات الموقع
Visit website	دیدن وب‌سایت	وېبپاڼه کتل	زيارة الموقع
Manage site	مدیریت وب‌سایت	وېبپاڼه اداره کول	إدارة الموقع
Create website	ایجاد وب‌سایت	وېبپاڼه جوړول	إنشاء موقع
Create page	ایجاد صفحه	پاڼه جوړول	إنشاء صفحة
Edit page	ویرایش صفحه	پاڼه سمول	تعديل الصفحة
Page title	عنوان صفحه	د پاڼې سرلیک	عنوان الصفحة
Page settings	تنظیمات صفحه	د پاڼې امستنې	إعدادات الصفحة
Page structure	ساختار صفحه	د پاڼې جوړښت	بنية الصفحة
Content	محتوا	منځپانګه	المحتوى
Content language	زبان محتوا	د منځپانګې ژبه	لغة المحتوى
Preview	پیش‌نمایش	مخکتنه	معاينة
Publish	انتشار	خپرول	نشر
Save draft	ذخیره پیش‌نویس	مسوده خوندي کول	حفظ المسودة
draft	پیش‌نویس	مسوده	مسودة
published	منتشرشده	خپور شوی	منشور
scheduled	زمان‌بندی‌شده	مهالویش شوی	مجدول
archived	بایگانی‌شده	آرشیف شوی	مؤرشف
active	فعال	فعال	نشط
pending	در انتظار	په تمه	قيد الانتظار
confirmed	تأییدشده	تایید شوی	مؤكد
fulfilled	تحویل‌شده	سپارل شوی	تم التنفيذ
cancelled	لغوشده	لغوه شوی	ملغى
paid	پرداخت‌شده	ورکړل شوی	مدفوع
unpaid	پرداخت‌نشده	نه دی ورکړل شوی	غير مدفوع
new	جدید	نوی	جديد
read	خوانده‌شده	لوستل شوی	مقروء
subscribed	عضو تأییدشده	تایید شوی ګډونوال	مشترك مؤكد
unsubscribed	لغو عضویت	ګډون لغوه شوی	أُلغي الاشتراك
All pages	همه صفحه‌ها	ټولې پاڼې	كل الصفحات
All websites	همه وب‌سایت‌ها	ټولې وېبپاڼې	كل المواقع
All files	همه فایل‌ها	ټولې دوتنې	كل الملفات
Theme	پوسته	پوښ	القالب
Colors	رنگ‌ها	رنګونه	الألوان
Typography	حروف‌نگاری	لیکبڼه	الخطوط
Layout	چیدمان	جوړښت	التخطيط
Presets	ظاهرهای ذخیره‌شده	خوندي شوې بڼې	الإعدادات المحفوظة
Heading	سرعنوان	سرلیک	الترويسة
Heading font	خط عنوان	د سرلیک لیکبڼه	خط العنوان
Website font	خط وب‌سایت	د وېبپاڼې لیکبڼه	خط الموقع
Appearance mode	حالت ظاهر	د بڼې حالت	وضع المظهر
light	روشن	روښانه	فاتح
dark	تیره	تیاره	داكن
system	سیستم	سیستم	النظام
none	هیچ	هېڅ	بلا
soft	ملایم	نرم	خفيف
raised	برجسته	راپورته	بارز
Card shadow	سایه کارت	د کارت سیوری	ظل البطاقة
Save appearance	ذخیره ظاهر	بڼه خوندي کول	حفظ المظهر
Reset theme	بازنشانی پوسته	پوښ بیاټاکل	إعادة ضبط القالب
Primary & buttons	رنگ اصلی و دکمه‌ها	اصلي رنګ او تڼۍ	اللون الأساسي والأزرار
Secondary	رنگ فرعی	دوهم رنګ	اللون الثانوي
Accent	رنگ تأکیدی	ټینګار رنګ	لون التمييز
Page background	پس‌زمینه صفحه	د پاڼې شالید	خلفية الصفحة
Card surfaces	سطح کارت‌ها	د کارتونو سطحې	خلفيات البطاقات
Body text	متن اصلی	اصلي متن	النص الأساسي
Headings	عنوان‌ها	سرلیکونه	العناوين
Upload files	بارگذاری فایل‌ها	دوتنې پورته کول	رفع الملفات
Image	تصویر	انځور	صورة
Image URL	نشانی تصویر	د انځور پته	رابط الصورة
File name	نام فایل	د دوتنې نوم	اسم الملف
Folder	پوشه	پوښۍ	المجلد
Folder name	نام پوشه	د پوښۍ نوم	اسم المجلد
Parent folder	پوشه والد	اصلي پوښۍ	المجلد الأب
Alternative text	متن جایگزین	بدیل متن	النص البديل
Caption	زیرنویس	لنډه څرګندونه	التسمية التوضيحية
Save details	ذخیره جزئیات	جزیات خوندي کول	حفظ التفاصيل
Save folder	ذخیره پوشه	پوښۍ خوندي کول	حفظ المجلد
Crop, resize & optimize	برش، تغییر اندازه و بهینه‌سازی	پرېکول، اندازه بدلول او ښه کول	قص وتغيير الحجم وتحسين
Output format	قالب خروجی	د پایلې بڼه	صيغة الإخراج
Output width (pixels)	عرض خروجی (پیکسل)	د پایلې پلنوالی (پکسل)	عرض الإخراج بالبكسل
Quality (20–100)	کیفیت (۲۰–۱۰۰)	کیفیت (۲۰–۱۰۰)	الجودة (٢٠–١٠٠)
Save edited copy	ذخیره نسخه ویرایش‌شده	سمه شوې کاپي خوندي کول	حفظ نسخة معدلة
Reset crop	بازنشانی برش	پرېکول بیاټاکل	إعادة ضبط القص
Menu name	نام فهرست	د غورنۍ نوم	اسم القائمة
Menu language	زبان فهرست	د غورنۍ ژبه	لغة القائمة
Link label	عنوان پیوند	د تړوني نوم	عنوان الرابط
Link URL	نشانی پیوند	د تړوني پته	عنوان الرابط
Add link	افزودن پیوند	تړونی زیاتول	إضافة رابط
Add child link	افزودن پیوند فرعی	فرعي تړونی زیاتول	إضافة رابط فرعي
Save navigation	ذخیره ناوبری	لارښود خوندي کول	حفظ التنقل
header	سرصفحه	سرلیک	الترويسة
footer	پاصفحه	لاندې برخه	التذييل
mobile	موبایل	موبایل	الهاتف
secondary	فرعی	دوهم	ثانوي
Header	سرصفحه	سرلیک	الترويسة
Footer	پاصفحه	لاندې برخه	التذييل
Navigation	ناوبری	لارښود	التنقل
Announcement Bar	نوار اطلاعیه	د خبرتیا پټه	شريط الإعلانات
Global CTA	دعوت به اقدام سراسری	ګډ بلنلیک	دعوة عامة لاتخاذ إجراء
Save global component	ذخیره جزء سراسری	ګډه برخه خوندي کول	حفظ المكون العام
Brand logo	نشان تجاری	سوداګریز نښان	شعار العلامة
Add a section	افزودن بخش	برخه زیاتول	إضافة قسم
Add column	افزودن ستون	ستنه زیاتول	إضافة عمود
Add content item	افزودن مورد محتوا	منځپانګه زیاتول	إضافة عنصر محتوى
Content items	موارد محتوا	د منځپانګې توکي	عناصر المحتوى
Column	ستون	ستنه	عمود
Text alignment	تراز متن	د متن برابرول	محاذاة النص
start	آغاز	پیل	البداية
center	وسط	منځ	الوسط
end	پایان	پای	النهاية
cover	پوشش	پوښل	تغطية
contain	جای‌دادن	ځایول	احتواء
top	بالا	پورته	أعلى
bottom	پایین	لاندې	أسفل
left	چپ	کیڼ	يسار
right	راست	ښی	يمين
Object fit	نحوه نمایش تصویر	د انځور برابرول	ملاءمة الصورة
Focal position	نقطه تمرکز	د تمرکز ځای	موضع التركيز
Image opacity	شفافیت تصویر	د انځور روڼتیا	عتامة الصورة
Image radius	گردی تصویر	د انځور ګردوالی	استدارة الصورة
Undo	واگرد	بېرته ګرځول	تراجع
Redo	ازنو	بیا کول	إعادة
Duplicate	نسخه‌برداری	کاپي کول	تكرار
Insert	درج	ننویستل	إدراج
Save as template	ذخیره به‌عنوان قالب	د قالب په توګه خوندي کول	حفظ كنموذج
Use template	استفاده از قالب	قالب کارول	استخدام النموذج
Revision history	تاریخچه نسخه‌ها	د نسخو تاریخچه	سجل النسخ
Revision comparison	مقایسه نسخه‌ها	د نسخو پرتله	مقارنة النسخ
Compare	مقایسه	پرتله	مقارنة
Restore	بازیابی	بیا راګرځول	استعادة
Recover copy	بازیابی نسخه	کاپي بېرته راوستل	استعادة النسخة
Discard copy	حذف نسخه کاری	کاري کاپي ړنګول	تجاهل النسخة
Schedule publication	زمان‌بندی انتشار	د خپرولو مهالویش	جدولة النشر
Publication date & time	تاریخ و ساعت انتشار	د خپرولو نېټه او وخت	تاريخ ووقت النشر
Accounts	حساب‌ها	حسابونه	الحسابات
Roles & permissions	نقش‌ها و مجوزها	رولونه او اجازې	الأدوار والصلاحيات
Role name	نام نقش	د رول نوم	اسم الدور
Workspace role	نقش فضای کاری	د کاري ځای رول	دور مساحة العمل
Website role	نقش وب‌سایت	د وېبپاڼې رول	دور الموقع
Account active	حساب فعال	فعال حساب	الحساب نشط
Save account	ذخیره حساب	حساب خوندي کول	حفظ الحساب
Save role	ذخیره نقش	رول خوندي کول	حفظ الدور
Add member	افزودن عضو	غړی زیاتول	إضافة عضو
Save membership	ذخیره عضویت	غړیتوب خوندي کول	حفظ العضوية
Super Admin	مدیر کل	عمومي مدیر	مدير عام
Administrator	مدیر	مدیر	مسؤول
Editor	ویرایشگر	سموونکی	محرر
Content Manager	مدیر محتوا	د منځپانګې مدیر	مدير المحتوى
Marketing Manager	مدیر بازاریابی	د بازارموندنې مدیر	مدير التسويق
read	خوانده‌شده	لوستل شوی	مقروء
pages	صفحه‌ها	پاڼې	صفحات
media	رسانه	رسنۍ	وسائط
appearance	ظاهر	بڼه	مظهر
menus	فهرست‌ها	غورنۍ	قوائم
templates	قالب‌ها	قالبونه	نماذج
translations	ترجمه‌ها	ژباړې	ترجمات
seo	بهینه‌سازی جستجو	د لټون ښه کول	تحسين البحث
settings	تنظیمات	امستنې	إعدادات
users	کاربران	کارنان	مستخدمون
commerce	تجارت	سوداګري	تجارة
submissions	پیام‌ها	پیغامونه	رسائل
Translation	ترجمه	ژباړه	ترجمة
Translation key	کلید ترجمه	د ژباړې کیلي	مفتاح الترجمة
Translated content	محتوای ترجمه‌شده	ژباړل شوې منځپانګه	المحتوى المترجم
Save translation	ذخیره ترجمه	ژباړه خوندي کول	حفظ الترجمة
Create translation	ایجاد ترجمه	ژباړه جوړول	إنشاء ترجمة
Exchange rate	نرخ تبدیل	د تبادلې نرخ	سعر الصرف
Symbol position	جای نماد	د نښې ځای	موضع الرمز
before	پیش از مبلغ	له پیسو مخکې	قبل المبلغ
after	پس از مبلغ	له پیسو وروسته	بعد المبلغ
Manual	دستی	لاسي	يدوي
Save currency	ذخیره ارز	اسعار خوندي کول	حفظ العملة
Save settings	ذخیره تنظیمات	امستنې خوندي کول	حفظ الإعدادات
SEO title	عنوان جستجو	د لټون سرلیک	عنوان محركات البحث
Meta description	توضیحات جستجو	د لټون تشریح	وصف محركات البحث
Search engine indexing	فهرست‌سازی موتور جستجو	د لټون انډېکس	فهرسة محركات البحث
URL slug	نامک نشانی	د پتې لنډ نوم	الاسم المختصر للرابط
Social share title	عنوان اشتراک‌گذاری	د شریکولو سرلیک	عنوان المشاركة
Social share description	توضیحات اشتراک‌گذاری	د شریکولو تشریح	وصف المشاركة
Messages	پیام‌ها	پیغامونه	الرسائل
Message	پیام	پیغام	الرسالة
Mark read	علامت‌گذاری خوانده‌شده	لوستل شوی نښه کول	تحديد كمقروء
Archive	بایگانی	آرشیف	أرشفة
Newsletter subscribers	اعضای خبرنامه	د خبرپاڼې ګډونوال	مشتركو النشرة
Send message	ارسال پیام	پیغام لېږل	إرسال رسالة
Subscribe	عضویت	ګډون	اشتراك
Sending…	در حال ارسال…	لېږل کېږي…	جارٍ الإرسال…
Message received.	پیام دریافت شد.	پیغام ترلاسه شو.	تم استلام الرسالة.
Check your email to confirm your subscription.	برای تأیید عضویت ایمیل خود را بررسی کنید.	د ګډون د تایید لپاره خپل برېښنالیک وګورئ.	تحقق من بريدك لتأكيد الاشتراك.
Preview email available in admin inbox.	ایمیل آزمایشی در صندوق مدیر موجود است.	ازمایښتي برېښنالیک د مدیر په صندوق کې دی.	رسالة المعاينة متاحة في صندوق المدير.
Preview verification email	مشاهده ایمیل تأیید آزمایشی	ازمایښتي تایید برېښنالیک کتل	معاينة رسالة التحقق
Manage subscription	مدیریت عضویت	ګډون اداره کول	إدارة الاشتراك
Confirm subscription	تأیید عضویت	ګډون تاییدول	تأكيد الاشتراك
Unsubscribe	لغو عضویت	ګډون لغوه کول	إلغاء الاشتراك
Subscription updated.	عضویت به‌روز شد.	ګډون تازه شو.	تم تحديث الاشتراك.
Forms are disabled in the editor preview.	فرم‌ها در پیش‌نمایش ویرایشگر غیرفعال‌اند.	فورمې د سمونګر په مخکتنه کې بندې دي.	النماذج معطلة في معاينة المحرر.
I agree to be contacted about this message.	با تماس درباره این پیام موافقم.	د دې پیغام په اړه له اړیکې سره موافق یم.	أوافق على التواصل معي بشأن هذه الرسالة.
I agree to receive newsletter emails. I can unsubscribe at any time.	با دریافت خبرنامه موافقم و هر زمان می‌توانم عضویت را لغو کنم.	د خبرپاڼو له ترلاسه کولو سره موافق یم. هر وخت ګډون لغوه کولی شم.	أوافق على تلقي النشرة ويمكنني إلغاء الاشتراك في أي وقت.
Contact messages and confirmed newsletter subscriptions for this website.	پیام‌های تماس و عضویت‌های خبرنامه این وب‌سایت.	د دې وېبپاڼې پیغامونه او د خبرپاڼې ګډونونه.	رسائل الاتصال واشتراكات النشرة لهذا الموقع.
No messages yet.	هنوز پیامی نیست.	تر اوسه پیغام نشته.	لا توجد رسائل بعد.
Only confirmed subscribers may receive newsletters. Request a new email from the public form to manage a subscription.	خبرنامه فقط برای اعضای تأییدشده است. برای مدیریت عضویت، از فرم عمومی ایمیل جدید بخواهید.	خبرپاڼې یوازې تایید شویو ګډونوالو ته دي. د ګډون ادارې لپاره له عام فورم څخه نوی برېښنالیک وغواړئ.	النشرات للمشتركين المؤكدين فقط. اطلب رسالة جديدة من النموذج العام لإدارة اشتراكك.
Delete permanently?	برای همیشه حذف شود؟	د تل لپاره ړنګ شي؟	حذف نهائي؟
This removes personal data and cannot be undone.	اطلاعات شخصی حذف می‌شود و قابل بازگشت نیست.	شخصي معلومات ړنګېږي او بېرته نه راګرځي.	ستُحذف البيانات الشخصية ولا يمكن التراجع.
Product	محصول	محصول	المنتج
Price	قیمت	بیه	السعر
Stock	موجودی	زېرمه	المخزون
Active	فعال	فعال	نشط
Archived	بایگانی‌شده	آرشیف شوی	مؤرشف
Add product	افزودن محصول	محصول زیاتول	إضافة منتج
Save product	ذخیره محصول	محصول خوندي کول	حفظ المنتج
Product details	جزئیات محصول	د محصول جزیات	تفاصيل المنتج
No records yet.	هنوز رکوردی نیست.	تر اوسه ثبت نشته.	لا توجد سجلات بعد.
Confirm order	تأیید سفارش	سپارښتنه تاییدول	تأكيد الطلب
Mark fulfilled	ثبت تحویل	سپارل ثبتول	تحديد كمنفذ
Record payment	ثبت پرداخت	ورکړه ثبتول	تسجيل الدفع
Cancel order	لغو سفارش	سپارښتنه لغوه کول	إلغاء الطلب
Cancel this order?	این سفارش لغو شود؟	دا سپارښتنه لغوه شي؟	إلغاء هذا الطلب؟
Confirm payment received	تأیید دریافت پرداخت	د ورکړې ترلاسه کول تایید کړئ	تأكيد استلام الدفع
Only mark paid after verifying the payment outside this system.	فقط پس از بررسی پرداخت خارج از سیستم، آن را پرداخت‌شده ثبت کنید.	یوازې له سیسټم څخه بهر د ورکړې تر تایید وروسته یې ورکړل شوی ثبت کړئ.	سجّل الدفع فقط بعد التحقق منه خارج النظام.
Stock will be restored once. Paid orders cannot be cancelled here.	موجودی یک‌بار بازگردانده می‌شود. سفارش پرداخت‌شده اینجا لغو نمی‌شود.	زېرمه یو ځل بېرته زیاتېږي. ورکړل شوې سپارښتنې دلته نه لغوه کېږي.	يُعاد المخزون مرة واحدة. لا يمكن إلغاء الطلبات المدفوعة هنا.
Enter a price with at most two decimal places.	قیمت را با حداکثر دو رقم اعشار وارد کنید.	بیه تر دوو اعشاري ځایونو پورې ولیکئ.	أدخل سعراً بمنزلتين عشريتين كحد أقصى.
Cash on delivery orders. Payment recording is manual; no card gateway is connected.	سفارش‌ها با پرداخت هنگام تحویل‌اند. ثبت پرداخت دستی است؛ درگاه کارت متصل نیست.	سپارښتنې د سپارلو پر وخت ورکول کېږي. ورکړې په لاس ثبتېږي؛ د کارت دروازه نشته.	طلبات الدفع عند الاستلام. التسجيل يدوي ولا توجد بوابة بطاقات متصلة.
Prices use the website currency. Archive a product by turning off Active. Stock is reserved at checkout.	قیمت‌ها به ارز وب‌سایت‌اند. با خاموش‌کردن «فعال» محصول بایگانی می‌شود. موجودی هنگام سفارش رزرو می‌شود.	بیې د وېبپاڼې په اسعارو دي. فعال بند کړئ چې محصول آرشیف شي. زېرمه د پېر پر وخت ساتل کېږي.	الأسعار بعملة الموقع. أوقف «نشط» لأرشفة المنتج. يُحجز المخزون عند الطلب.
Shop	فروشگاه	پلورنځی	المتجر
Home	خانه	کور	الرئيسية
Add to cart	افزودن به سبد	ټوکرۍ ته زیاتول	إضافة للسلة
Out of stock	ناموجود	زېرمه نشته	نفد المخزون
Your cart	سبد شما	ستاسو ټوکرۍ	سلتك
Total	مجموع	ټول	الإجمالي
Phone	تلفن	تلیفون	الهاتف
Delivery address	نشانی تحویل	د سپارلو پته	عنوان التوصيل
Place order · Cash on delivery	ثبت سفارش · پرداخت هنگام تحویل	سپارښتنه ثبتول · د سپارلو پر وخت ورکړه	تأكيد الطلب · الدفع عند الاستلام
Submitting…	در حال ثبت…	ثبتېږي…	جارٍ التسجيل…
Order received	سفارش دریافت شد	سپارښتنه ترلاسه شوه	تم استلام الطلب
Keep this reference for your records.	این شناسه را نگه دارید.	دا شمېره له ځان سره وساتئ.	احتفظ بهذا المرجع.
Continue shopping	ادامه خرید	پېر ته دوام	متابعة التسوق
Load more	نمایش بیشتر	نور ښودل	عرض المزيد
No products available.	محصولی موجود نیست.	محصولات نشته.	لا توجد منتجات متاحة.
Cash on delivery. No online payment is collected. Prices include all charges; delivery is free.	پرداخت هنگام تحویل است؛ پرداخت آنلاین دریافت نمی‌شود. قیمت‌ها شامل همه هزینه‌ها و تحویل رایگان است.	ورکړه د سپارلو پر وخت ده؛ آنلاین پیسې نه اخیستل کېږي. بیې ټول لګښتونه لري او سپارل وړیا دي.	الدفع عند الاستلام دون تحصيل إلكتروني. الأسعار شاملة والتوصيل مجاني.
I agree to be contacted to fulfill this order and to pay on delivery.	با تماس برای تحویل سفارش و پرداخت هنگام تحویل موافقم.	د سپارښتنې لپاره له اړیکې او د سپارلو پر وخت ورکړې سره موافق یم.	أوافق على التواصل لتنفيذ الطلب والدفع عند الاستلام.
Workspace	فضای کاری	کاري ځای	مساحة العمل
WORKSPACE	فضای کاری	کاري ځای	مساحة العمل
MANAGE	مدیریت	اداره	الإدارة
Sign out	خروج	وتل	تسجيل الخروج
Sign in	ورود	ننوتل	تسجيل الدخول
Open demo workspace	بازکردن فضای آزمایشی	ازمایښتي ځای پرانیستل	فتح مساحة التجربة
Notifications	اطلاعیه‌ها	خبرتیاوې	الإشعارات
Help & getting started	راهنما و شروع	مرسته او پیل	المساعدة والبدء
Getting your workspace ready…	در حال آماده‌سازی فضای کاری…	کاري ځای چمتو کېږي…	جارٍ تجهيز مساحة العمل…
Welcome to your workspace.	به فضای کاری خود خوش آمدید.	خپل کاري ځای ته ښه راغلاست.	مرحباً بك في مساحة عملك.
Welcome to Atelier.	به اتلیه خوش آمدید.	اتلیه ته ښه راغلاست.	مرحباً بك في أتيليه.
A home for all the things you create.	خانه‌ای برای تمام ساخته‌های شما.	ستاسو د ټولو جوړونو لپاره یو کور.	موطن لكل ما تصنعه.
Your creative headquarters	مرکز خلاقیت شما	ستاسو د نوښت مرکز	مركز إبداعك
Workspace connected	فضای کاری متصل است	کاري ځای تړلی دی	مساحة العمل متصلة
Made for your next big idea.	برای ایده بزرگ بعدی شما.	ستاسو د راتلونکي لوی فکر لپاره.	لفكرتك الكبيرة القادمة.
Big ideas start here.	ایده‌های بزرگ از اینجا آغاز می‌شوند.	لوی فکرونه له دې ځایه پیلېږي.	الأفكار الكبيرة تبدأ هنا.
Your next website is just a	وب‌سایت بعدی شما تنها	ستاسو بله وېبپاڼه یوازې	موقعك القادم على بُعد
few clicks away.	چند کلیک فاصله دارد.	څو کلیکونه لرې دی.	بضع نقرات.
Create something new	چیزی تازه بسازید	یو نوی شی جوړ کړئ	أنشئ شيئاً جديداً
Secure administration · Atelier CMS	مدیریت امن · سیستم اتلیه	خوندي اداره · اتلیه	إدارة آمنة · أتيليه
Local demo only. Do not enter real credentials. Reopen the demo workspace below.	فقط نسخه آزمایشی است. اطلاعات ورود واقعی وارد نکنید. فضای آزمایشی را باز کنید.	یوازې ازمایښتي نسخه ده. اصلي پټنوم مه لیکئ. ازمایښتي ځای پرانیزئ.	تجربة محلية فقط. لا تدخل بيانات حقيقية. أعد فتح مساحة التجربة.
Password changes require the Laravel backend. The local preview does not support real account sign-in.	تغییر رمز عبور به لاراول نیاز دارد. پیش‌نمایش محلی ورود واقعی را پشتیبانی نمی‌کند.	د پټنوم بدلول لاراول غواړي. محلي مخکتنه اصلي ننوتل نه لري.	تغيير كلمة المرور يتطلب لارافيل. المعاينة المحلية لا تدعم الدخول الحقيقي.
Search anything...	جستجو…	ولټوئ…	ابحث…
Search currently covers websites. Open a website to search its pages and media.	جستجو فعلاً وب‌سایت‌ها را پوشش می‌دهد. برای جستجوی صفحه و رسانه، وب‌سایت را باز کنید.	لټون اوس وېبپاڼې رانغاړي. د پاڼو او رسنیو لپاره وېبپاڼه پرانیزئ.	البحث يشمل المواقع حالياً. افتح موقعاً للبحث في صفحاته ووسائطه.
You're all caught up.	همه چیز را دیده‌اید.	تاسو هر څه کتلي دي.	أنت مطلع على كل جديد.
Your latest workspace activity is below.	آخرین فعالیت فضای کاری در زیر است.	د کاري ځای وروستی فعالیت لاندې دی.	أحدث نشاط لمساحة العمل أدناه.
Start with a website, make the theme your own, then build and publish your first page.	وب‌سایت بسازید، ظاهر را تنظیم کنید و نخستین صفحه را منتشر کنید.	وېبپاڼه جوړه کړئ، بڼه وټاکئ او لومړۍ پاڼه خپره کړئ.	أنشئ موقعاً وخصص مظهره ثم انشر صفحتك الأولى.
Create a website with the guided setup.	با راهنمای راه‌اندازی وب‌سایت بسازید.	د لارښود له لارې وېبپاڼه جوړه کړئ.	أنشئ موقعاً بمعالج الإعداد.
Choose colors and typography in Theme & Appearance.	رنگ و خط را در بخش پوسته و ظاهر انتخاب کنید.	رنګونه او لیکبڼه د بڼې په برخه کې وټاکئ.	اختر الألوان والخطوط في القالب والمظهر.
Publish the page and set the website to Published in Settings.	صفحه را منتشر کنید و وضعیت وب‌سایت را در تنظیمات به منتشرشده تغییر دهید.	پاڼه خپره کړئ او په امستنو کې وېبپاڼه خپره وټاکئ.	انشر الصفحة واجعل حالة الموقع منشوراً في الإعدادات.
Visit your site to see your saved content live.	برای دیدن محتوای ذخیره‌شده وب‌سایت را باز کنید.	د خوندي منځپانګې لیدلو لپاره وېبپاڼه وګورئ.	زر موقعك لمشاهدة المحتوى المحفوظ.
A SPACE FOR YOUR NEXT BIG THING	فضایی برای ایده بزرگ بعدی	د راتلونکي لوی فکر لپاره ځای	مساحة لفكرتك الكبيرة القادمة
Many websites.	وب‌سایت‌های بسیار.	ډېرې وېبپاڼې.	مواقع متعددة.
One beautiful workspace.	یک فضای کاری زیبا.	یو ښکلی کاري ځای.	مساحة عمل جميلة واحدة.
From first idea to live website. Everything you need,	از نخستین ایده تا وب‌سایت زنده؛ همه نیازهای شما،	له لومړي فکره تر ژوندۍ وېبپاڼې؛ هر څه چې غواړئ،	من أول فكرة إلى موقع منشور. كل ما تحتاجه،
thoughtfully brought together.	با دقت در کنار هم.	په پاملرنې سره یو ځای.	مجتمعة بعناية.
Let’s build something	بیایید چیزی بسازیم	راځئ یو څه جوړ کړو	لنصنع شيئاً
Something	چیزی	یو څه	شيء
extraordinary	فوق‌العاده	بې‌ساری	استثنائي
starts here.	از اینجا آغاز می‌شود.	له دې ځایه پیلېږي.	يبدأ هنا.
your next great idea	ایده بزرگ بعدی شما	ستاسو راتلونکی لوی فکر	فكرتك الرائعة القادمة
your brand	برند شما	ستاسو نښه	علامتك التجارية
MADE TO MAKE AN IMPACT	ساخته‌شده برای تأثیرگذاری	د اغېز لپاره جوړ شوی	صُنع ليترك أثراً
Discover more ↗	بیشتر بدانید ↗	نور ومومئ ↗	اكتشف المزيد ↗
Ready when you are	هر وقت آماده باشید	هر وخت چې چمتو یاست	جاهز عندما تكون مستعداً
Recent activity	فعالیت‌های اخیر	وروستي فعالیتونه	النشاط الأخير
Your websites	وب‌سایت‌های شما	ستاسو وېبپاڼې	مواقعك
YOUR WORKSPACE, AT A GLANCE	فضای کاری در یک نگاه	کاري ځای په یوه کتنه	مساحة عملك في لمحة
A HOME FOR EVERY IDEA	خانه‌ای برای هر ایده	د هر فکر لپاره کور	موطن لكل فكرة
Good afternoon, Alex	به فضای کاری خوش آمدید	کاري ځای ته ښه راغلاست	مرحباً بك في مساحة العمل
A little overview of everything you’re bringing to life.	نمای کلی از آنچه می‌سازید.	د هغه څه عمومي کتنه چې جوړوئ.	لمحة عما تصنعه.
Create, manage, and grow every website from one place.	همه وب‌سایت‌ها را از یک جا بسازید و مدیریت کنید.	ټولې وېبپاڼې له یوه ځایه جوړې او اداره کړئ.	أنشئ جميع المواقع وأدرها من مكان واحد.
No websites here yet.	هنوز وب‌سایتی نیست.	تر اوسه وېبپاڼه نشته.	لا توجد مواقع بعد.
Try a different search or filter.	جستجو یا فیلتر دیگری را امتحان کنید.	بل لټون یا چاڼ وکاروئ.	جرب بحثاً أو مرشحاً آخر.
